GEOIDFQ,GEOTYPE,GEONAME,YEAR,RACE,PROPORTION
0500000US39041,County,Delaware County,2010,White,0.8841897278344393
0500000US39041,County,Delaware County,2011,White,0.8806556018456301
0500000US39041,County,Delaware County,2012,White,0.8778816336890429
0500000US39041,County,Delaware County,2013,White,0.8736856288231966
0500000US39041,County,Delaware County,2014,White,0.8692531993313964
0500000US39041,County,Delaware County,2015,White,0.8642162128661736
0500000US39041,County,Delaware County,2016,White,0.8570618206865813
0500000US39041,County,Delaware County,2017,White,0.8499828492172781
0500000US39041,County,Delaware County,2018,White,0.8426176179832187
0500000US39041,County,Delaware County,2019,White,0.8351893520460699
0500000US39041,County,Delaware County,2020,White,0.8247413576746824
0500000US39041,County,Delaware County,2021,White,0.8183991251852655
0500000US39041,County,Delaware County,2022,White,0.8069407245559628
0500000US39041,County,Delaware County,2023,White,0.7962807005482702
0500000US39041,County,Delaware County,2024,White,0.7852760478387669
0500000US39045,County,Fairfield County,2010,White,0.8921848532867056
0500000US39045,County,Fairfield County,2011,White,0.8890134529147982
0500000US39045,County,Fairfield County,2012,White,0.8858153332337727
0500000US39045,County,Fairfield County,2013,White,0.8806276038166913
0500000US39045,County,Fairfield County,2014,White,0.8762234042553192
0500000US39045,County,Fairfield County,2015,White,0.8738483907210363
0500000US39045,County,Fairfield County,2016,White,0.8679308246471547
0500000US39045,County,Fairfield County,2017,White,0.8617937150169986
0500000US39045,County,Fairfield County,2018,White,0.8560187617741667
0500000US39045,County,Fairfield County,2019,White,0.8486268492038832
0500000US39045,County,Fairfield County,2020,White,0.8386532383484674
0500000US39045,County,Fairfield County,2021,White,0.8306552141151664
0500000US39045,County,Fairfield County,2022,White,0.8174864861552039
0500000US39045,County,Fairfield County,2023,White,0.8060677413512045
0500000US39045,County,Fairfield County,2024,White,0.7943336393223733
0500000US39047,County,Fayette County,2010,White,0.9385511441963055
0500000US39047,County,Fayette County,2011,White,0.9380325597506062
0500000US39047,County,Fayette County,2012,White,0.9381995133819951
0500000US39047,County,Fayette County,2013,White,0.9360404322063437
0500000US39047,County,Fayette County,2014,White,0.933233282144353
0500000US39047,County,Fayette County,2015,White,0.930495859104728
0500000US39047,County,Fayette County,2016,White,0.9281407910785852
0500000US39047,County,Fayette County,2017,White,0.9257037217900869
0500000US39047,County,Fayette County,2018,White,0.9232543510169847
0500000US39047,County,Fayette County,2019,White,0.9222776100540616
0500000US39047,County,Fayette County,2020,White,0.9186969425081096
0500000US39047,County,Fayette County,2021,White,0.915258337653361
0500000US39047,County,Fayette County,2022,White,0.9136747990019407
0500000US39047,County,Fayette County,2023,White,0.9132184107384412
0500000US39047,County,Fayette County,2024,White,0.9119588631783754
0500000US39049,County,Franklin County,2010,White,0.6737599659754866
0500000US39049,County,Franklin County,2011,White,0.6693467872847965
0500000US39049,County,Franklin County,2012,White,0.6647899491101573
0500000US39049,County,Franklin County,2013,White,0.6588535301422425
0500000US39049,County,Franklin County,2014,White,0.6522952828558928
